country,series,phase,n,mean_anomaly_pct,median_anomaly_pct,mean_yoy_pct,share_below_trend,years
Indonesia,Area total,La Nina (|ONI| >= 1),7,-0.81,0.00,-0.09,42.86,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Indonesia,Yield (production / bearing area),El Nino,7,2.61,1.23,7.33,42.86,2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Indonesia,Yield (production / bearing area),La Nina,10,-0.90,1.22,-1.16,50.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Yield (production / bearing area),neutral,3,0.01,0.52,-4.56,33.33,2013/14 2014/15 2020/21
Indonesia,Yield (production / bearing area),El Nino,5,6.68,2.82,14.45,20.00,2005/06 2007/08 2015/16 2019/20 2024/25
Indonesia,Yield (production / bearing area),El Nino fort,2,-7.58,-7.58,-10.46,100.00,2010/11 2016/17
Indonesia,Yield (production / bearing area),La Nina,8,-1.58,1.22,-3.34,50.00,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Yield (production / bearing area),La Nina forte,2,1.79,1.79,7.58,50.00,2008/09 2011/12
Indonesia,Yield (production / bearing area),El Nino (|ONI| >= 1),3,-4.11,-2.69,3.46,66.67,2010/11 2016/17 2024/25
Indonesia,Yield (production / bearing area),La Nina (|ONI| >= 1),7,1.14,5.14,4.71,42.86,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Vietnam,Production Robusta,El Nino,9,-4.61,-0.41,3.62,55.56,1998/99 2003/04 2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Vietnam,Production Robusta,La Nina,14,5.11,1.25,15.18,42.86,1996/97 1999/00 2000/01 2001/02 2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Production Robusta,neutral,6,-4.34,-3.24,1.69,66.67,1997/98 2002/03 2004/05 2013/14 2014/15 2020/21
Vietnam,Production Robusta,El Nino,6,0.71,2.69,4.81,33.33,2003/04 2005/06 2007/08 2015/16 2019/20 2024/25
Vietnam,Production Robusta,El Nino fort,3,-15.27,-12.63,1.24,100.00,1998/99 2010/11 2016/17
Vietnam,Production Robusta,La Nina,10,0.90,-1.66,8.59,50.00,1996/97 2001/02 2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Production Robusta,La Nina forte,4,15.63,6.47,31.68,25.00,1999/00 2000/01 2008/09 2011/12
Vietnam,Production Robusta,El Nino (|ONI| >= 1),5,-5.82,-8.40,8.83,80.00,1998/99 2003/04 2010/11 2016/17 2024/25
Vietnam,Production Robusta,La Nina (|ONI| >= 1),10,5.67,2.87,16.73,40.00,1996/97 1999/00 2000/01 2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Vietnam,Production Total,El Nino,9,-4.46,-0.17,3.81,55.56,1998/99 2003/04 2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Vietnam,Production Total,La Nina,14,4.78,1.06,15.04,50.00,1996/97 1999/00 2000/01 2001/02 2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Production Total,neutral,6,-3.99,-3.11,2.03,66.67,1997/98 2002/03 2004/05 2013/14 2014/15 2020/21
Vietnam,Production Total,El Nino,6,0.83,2.87,4.94,33.33,2003/04 2005/06 2007/08 2015/16 2019/20 2024/25
Vietnam,Production Total,El Nino fort,3,-15.06,-12.52,1.55,100.00,1998/99 2010/11 2016/17
Vietnam,Production Total,La Nina,10,0.52,-1.94,8.37,60.00,1996/97 2001/02 2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Production Total,La Nina forte,4,15.43,6.25,31.73,25.00,1999/00 2000/01 2008/09 2011/12
Vietnam,Production Total,El Nino (|ONI| >= 1),5,-5.73,-7.95,8.92,80.00,1998/99 2003/04 2010/11 2016/17 2024/25
Vietnam,Production Total,La Nina (|ONI| >= 1),10,5.56,2.72,16.89,40.00,1996/97 1999/00 2000/01 2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Vietnam,Area total,El Nino,9,-1.60,-0.73,1.66,66.67,1998/99 2003/04 2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Vietnam,Area total,La Nina,13,0.98,0.43,8.31,38.46,1996/97 1999/00 2000/01 2001/02 2006/07 2008/09 2009/10 2011/12 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Area total,neutral,4,1.35,-0.71,7.30,50.00,1997/98 2002/03 2004/05 2020/21
Vietnam,Area total,El Nino,6,0.40,-0.05,1.21,50.00,2003/04 2005/06 2007/08 2015/16 2019/20 2024/25
Vietnam,Area total,El Nino fort,3,-5.60,-2.60,2.55,100.00,1998/99 2010/11 2016/17
Vietnam,Area total,La Nina,9,-1.19,0.25,5.04,44.44,1996/97 2001/02 2006/07 2009/10 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Area total,La Nina forte,4,5.87,2.33,15.64,25.00,1999/00 2000/01 2008/09 2011/12
Vietnam,Area total,El Nino (|ONI| >= 1),5,-3.60,-0.95,1.15,100.00,1998/99 2003/04 2010/11 2016/17 2024/25
Vietnam,Area total,La Nina (|ONI| >= 1),9,1.34,0.43,11.58,33.33,1996/97 1999/00 2000/01 2008/09 2011/12 2018/19 2021/22 2022/23 2023/24
Vietnam,Area bearing,El Nino,7,-3.34,-1.21,-1.89,71.43,1998/99 2003/04 2005/06 2007/08 2016/17 2019/20 2024/25
Vietnam,Area bearing,La Nina,13,-0.13,-0.83,15.59,61.54,1996/97 1999/00 2000/01 2001/02 2006/07 2008/09 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Area bearing,neutral,6,6.51,6.33,6.97,16.67,1997/98 2002/03 2004/05 2013/14 2014/15 2020/21
Vietnam,Area bearing,El Nino,5,-0.10,-0.44,-0.46,60.00,2003/04 2005/06 2007/08 2019/20 2024/25
Vietnam,Area bearing,El Nino fort,2,-11.44,-11.44,-5.49,100.00,1998/99 2016/17
Vietnam,Area bearing,La Nina,10,-0.59,-0.60,14.22,60.00,1996/97 2001/02 2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Area bearing,La Nina forte,3,1.40,-1.37,20.12,66.67,1999/00 2000/01 2008/09
Vietnam,Area bearing,El Nino (|ONI| >= 1),4,-5.32,-3.65,-3.09,75.00,1998/99 2003/04 2016/17 2024/25
Vietnam,Area bearing,La Nina (|ONI| >= 1),9,1.04,-0.83,21.46,66.67,1996/97 1999/00 2000/01 2008/09 2012/13 2018/19 2021/22 2022/23 2023/24
Vietnam,Yield,El Nino,7,-3.24,-1.68,-1.38,71.43,2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Vietnam,Yield,La Nina,10,3.02,0.71,7.30,40.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Yield,neutral,4,-3.59,-4.25,-1.80,75.00,2004/05 2013/14 2014/15 2020/21
Vietnam,Yield,El Nino,5,-2.74,-0.85,-2.56,60.00,2005/06 2007/08 2015/16 2019/20 2024/25
Vietnam,Yield,El Nino fort,2,-4.48,-4.48,1.58,100.00,2010/11 2016/17
Vietnam,Yield,La Nina,8,3.96,0.71,8.08,37.50,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Vietnam,Yield,La Nina forte,2,-0.73,-0.73,4.18,50.00,2008/09 2011/12
Vietnam,Yield,El Nino (|ONI| >= 1),3,-3.55,-4.16,0.81,100.00,2010/11 2016/17 2024/25
Vietnam,Yield,La Nina (|ONI| >= 1),7,0.75,0.61,2.32,42.86,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Uganda,Production Arabica,El Nino,8,0.35,-1.32,4.04,62.50,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Uganda,Production Arabica,La Nina,13,-0.95,5.60,4.70,38.46,1999/00 2000/01 2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Production Arabica,neutral,5,0.11,0.98,5.73,40.00,2001/02 2003/04 2012/13 2013/14 2019/20
Uganda,Production Arabica,El Nino,6,-2.60,-1.32,-2.05,66.67,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Uganda,Production Arabica,El Nino fort,2,9.21,9.21,22.30,50.00,2009/10 2015/16
Uganda,Production Arabica,La Nina,10,2.12,5.67,9.46,30.00,2000/01 2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Production Arabica,La Nina forte,3,-11.18,-18.04,-11.18,66.67,1999/00 2007/08 2010/11
Uganda,Production Arabica,El Nino (|ONI| >= 1),4,3.29,-2.63,13.51,75.00,2002/03 2009/10 2015/16 2023/24
Uganda,Production Arabica,La Nina (|ONI| >= 1),8,-2.67,5.67,2.28,37.50,1999/00 2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Uganda,Production Robusta,El Nino,8,-9.64,-9.35,-0.58,75.00,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Uganda,Production Robusta,La Nina,13,3.49,1.23,4.11,38.46,1999/00 2000/01 2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Production Robusta,neutral,5,6.22,6.99,11.66,20.00,2001/02 2003/04 2012/13 2013/14 2019/20
Uganda,Production Robusta,El Nino,6,-6.19,-5.23,3.41,66.67,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Uganda,Production Robusta,El Nino fort,2,-20.00,-20.00,-12.54,100.00,2009/10 2015/16
Uganda,Production Robusta,La Nina,10,-1.22,-2.37,-0.21,50.00,2000/01 2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Production Robusta,La Nina forte,3,19.20,11.60,18.49,0.00,1999/00 2007/08 2010/11
Uganda,Production Robusta,El Nino (|ONI| >= 1),4,-12.61,-13.32,-11.83,100.00,2002/03 2009/10 2015/16 2023/24
Uganda,Production Robusta,La Nina (|ONI| >= 1),8,7.35,3.77,7.47,37.50,1999/00 2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Uganda,Production Total,El Nino,8,-7.62,-9.20,-0.62,75.00,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Uganda,Production Total,La Nina,13,2.44,0.34,3.43,38.46,1999/00 2000/01 2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Production Total,neutral,5,4.92,5.60,9.36,20.00,2001/02 2003/04 2012/13 2013/14 2019/20
Uganda,Production Total,El Nino,6,-5.57,-4.83,0.93,66.67,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Uganda,Production Total,El Nino fort,2,-13.77,-13.77,-5.27,100.00,2009/10 2015/16
Uganda,Production Total,La Nina,10,-0.44,-0.30,1.06,50.00,2000/01 2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Production Total,La Nina forte,3,12.03,11.22,11.31,0.00,1999/00 2007/08 2010/11
Uganda,Production Total,El Nino (|ONI| >= 1),4,-9.30,-9.26,-7.16,100.00,2002/03 2009/10 2015/16 2023/24
Uganda,Production Total,La Nina (|ONI| >= 1),8,5.15,1.10,5.61,37.50,1999/00 2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Uganda,Area total,El Nino,5,-5.15,-0.14,1.72,60.00,2009/10 2014/15 2015/16 2018/19 2023/24
Uganda,Area total,La Nina,7,-1.33,-0.88,2.99,57.14,2010/11 2011/12 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Area total,neutral,3,10.28,5.74,24.83,0.00,2012/13 2013/14 2019/20
Uganda,Area total,El Nino,3,-6.44,1.09,1.07,33.33,2014/15 2018/19 2023/24
Uganda,Area total,El Nino fort,2,-3.22,-3.22,2.68,100.00,2009/10 2015/16
Uganda,Area total,La Nina,6,-0.57,-0.29,2.68,50.00,2011/12 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Area total,La Nina forte,1,-5.88,-5.88,4.84,100.00,2010/11
Uganda,Area total,El Nino (|ONI| >= 1),3,-1.78,-0.14,2.67,66.67,2009/10 2015/16 2023/24
Uganda,Area total,La Nina (|ONI| >= 1),6,-1.60,-0.99,3.49,66.67,2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Uganda,Output per planted ha,El Nino,5,-3.55,-4.85,-5.73,80.00,2009/10 2014/15 2015/16 2018/19 2023/24
Uganda,Output per planted ha,La Nina,7,3.00,2.76,6.24,42.86,2010/11 2011/12 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Output per planted ha,neutral,3,-3.88,2.15,-6.22,33.33,2012/13 2013/14 2019/20
Uganda,Output per planted ha,El Nino,3,0.46,-4.05,-4.53,66.67,2014/15 2018/19 2023/24
Uganda,Output per planted ha,El Nino fort,2,-9.57,-9.57,-7.54,100.00,2009/10 2015/16
Uganda,Output per planted ha,La Nina,6,2.58,1.35,6.16,50.00,2011/12 2017/18 2020/21 2021/22 2022/23 2024/25
Uganda,Output per planted ha,La Nina forte,1,5.47,5.47,6.75,0.00,2010/11
Uganda,Output per planted ha,El Nino (|ONI| >= 1),3,-7.73,-4.85,-6.71,100.00,2009/10 2015/16 2023/24
Uganda,Output per planted ha,La Nina (|ONI| >= 1),6,3.51,3.65,6.50,33.33,2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
