country,series,year,forecast,lo80,hi80,lo95,hi95,unit,model
Vietnam,Area total,2030,817.125,740.365,893.885,699.731,934.52,1000 ha,"ARMA(1,1)"
Vietnam,Area total,2031,838.225,758.954,917.496,716.99,959.46,1000 ha,"ARMA(1,1)"
Vietnam,Area non-bearing,2027,80.8487,60.1325,101.565,49.1661,112.531,1000 ha,"ARIMA(0,1,1)"
Vietnam,Area non-bearing,2028,80.8487,45.8491,115.848,27.3214,134.376,1000 ha,"ARIMA(0,1,1)"
Vietnam,Area non-bearing,2029,80.8487,35.8956,125.802,12.0988,149.599,1000 ha,"ARIMA(0,1,1)"
Vietnam,Area non-bearing,2030,80.8487,27.7771,133.92,-0.317382,162.015,1000 ha,"ARIMA(0,1,1)"
Vietnam,Area non-bearing,2031,80.8487,20.7454,140.952,-11.0715,172.769,1000 ha,"ARIMA(0,1,1)"
Vietnam,Area bearing,2027,660.846,624.112,697.579,604.667,717.024,1000 ha,"ARIMA(1,1,0)"
Vietnam,Area bearing,2028,679.422,611.095,747.75,574.924,783.92,1000 ha,"ARIMA(1,1,0)"
Vietnam,Area bearing,2029,698.983,601.533,796.432,549.947,848.019,1000 ha,"ARIMA(1,1,0)"
Vietnam,Area bearing,2030,719.103,595.381,842.825,529.886,908.319,1000 ha,"ARIMA(1,1,0)"
Vietnam,Area bearing,2031,739.541,592.173,886.908,514.161,964.92,1000 ha,"ARIMA(1,1,0)"
Vietnam,Yield,2027,2.99728,2.74056,3.25399,2.60466,3.38989,t/ha,"ARIMA(0,1,1)"
Vietnam,Yield,2028,3.04456,2.7773,3.31182,2.63583,3.4533,t/ha,"ARIMA(0,1,1)"
Vietnam,Yield,2029,3.09185,2.81445,3.36925,2.6676,3.51609,t/ha,"ARIMA(0,1,1)"
Vietnam,Yield,2030,3.13913,2.85195,3.42631,2.69993,3.57834,t/ha,"ARIMA(0,1,1)"
Vietnam,Yield,2031,3.18642,2.88978,3.48306,2.73275,3.64009,t/ha,"ARIMA(0,1,1)"
Uganda,Production Arabica,2027,1179.49,1054.96,1304.02,989.039,1369.94,1000 60-kg bags,"ARMA(1,0)"
Uganda,Production Arabica,2028,1212.92,1080.61,1345.24,1010.56,1415.28,1000 60-kg bags,"ARMA(1,0)"
Uganda,Production Arabica,2029,1242.39,1109.1,1375.68,1038.54,1446.23,1000 60-kg bags,"ARMA(1,0)"
Uganda,Production Arabica,2030,1270.43,1137.02,1403.84,1066.39,1474.46,1000 60-kg bags,"ARMA(1,0)"
Uganda,Production Arabica,2031,1297.96,1164.53,1431.38,1093.9,1502.02,1000 60-kg bags,"ARMA(1,0)"
Uganda,Production Robusta,2027,6025,5302.78,6747.22,4920.46,7129.54,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Robusta,2028,6025,5003.62,7046.38,4462.94,7587.06,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Robusta,2029,6025,4774.07,7275.93,4111.87,7938.13,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Robusta,2030,6025,4580.55,7469.45,3815.91,8234.09,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Robusta,2031,6025,4410.06,7639.94,3555.16,8494.84,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Total,2027,7160,6504.11,7815.89,6156.9,8163.1,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Total,2028,7160,6232.43,8087.57,5741.4,8578.6,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Total,2029,7160,6023.96,8296.04,5422.58,8897.42,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Total,2030,7160,5848.21,8471.79,5153.8,9166.2,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Production Total,2031,7160,5693.38,8626.62,4917,9403,1000 60-kg bags,"ARIMA(0,1,0)"
Uganda,Area total,2027,614.944,555.797,674.092,524.486,705.403,1000 ha,"ARIMA(0,1,0)"
Uganda,Area total,2028,634.889,551.242,718.536,506.961,762.816,1000 ha,"ARIMA(0,1,0)"
Uganda,Area total,2029,654.833,552.387,757.28,498.155,811.512,1000 ha,"ARIMA(0,1,0)"
Uganda,Area total,2030,674.778,556.483,793.073,493.861,855.694,1000 ha,"ARIMA(0,1,0)"
Uganda,Area total,2031,694.722,562.464,826.98,492.451,896.993,1000 ha,"ARIMA(0,1,0)"
Uganda,Output per planted ha,2027,11.5041,10.1456,12.8626,9.42649,13.5817,bags/ha,"ARMA(0,0)"
Uganda,Output per planted ha,2028,11.5041,10.1456,12.8626,9.42649,13.5817,bags/ha,"ARMA(0,0)"
Uganda,Output per planted ha,2029,11.5041,10.1456,12.8626,9.42649,13.5817,bags/ha,"ARMA(0,0)"
Uganda,Output per planted ha,2030,11.5041,10.1456,12.8626,9.42649,13.5817,bags/ha,"ARMA(0,0)"
Uganda,Output per planted ha,2031,11.5041,10.1456,12.8626,9.42649,13.5817,bags/ha,"ARMA(0,0)"
